EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE1,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,DEATHS_DIRECT1,DEATHS_INDIRECT,DEATHS_DIRECT,INJURIES_INDIRECT,INJURIES_DIRECT1,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM1,DAMAGE_CROPS_NUM,DAMAGE_PROPERTY_NUM,STATE_ABBR,CZ_TIMEZONE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE
592035,HITCHCOCK CO.,PALISADE,24-Mar,2030,Thunderstorm Wind,83,0,0,0,0,0,0,4100000,0,4100000,NE,CST-6,98400,C,87,GLD,NWS Storm Survey, , ,0,SW,0,SW,40.3479,-101.1037,40.3479,-101.1037,2013
663370,SAMPSON CO.,NEWTON GROVE,25-Mar,30,Flood, ,0,0,0,0,0,0,4100000,25000000,29100000,NC,EST-5,109645,C,163,RAH,Emergency Manager, , ,2,NNE,4,ESE,35.2726,-78.3325,34.7802,-78.1595,2013
698359,FULTON CO.,GOODES,26-Mar,744,Hail,1.75,0,0,0,0,0,0,4100000,0,4100000,GA,EST-5,115772,C,121,FFC,Emergency Manager, , ,1,N,1,N,33.55,-84.67,33.55,-84.67,2013
668722,HARPER (ZONE), ,27-Mar,1000,Ice Storm, ,0,0,0,0,0,0,4088000,0,4088000,OK,CST-6,112106,Z,4,OUN,Storm Chaser, , , , , , , , , , ,2013
598154,JEFFERSON CO.,KIMMSWICK,28-Mar,2113,Flash Flood, ,2,0,2,0,0,0,4000000,0,4000000,MO,CST-6,99706,C,99,LSX,Emergency Manager, , ,1,S,1,ENE,38.3515,-90.3675,38.2059,-90.3557,2013
601956,PATRICK CO.,MEADOWS OF DAN,29-Mar,445,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,VA,EST-5,99960,C,141,RNK,911 Call Center, , ,3,SSW,2,ENE,36.686,-80.4474,36.6607,-80.1714,2013
597478,LANCASTER CO.,ROHRERSTOWN,30-Mar,2340,Tornado, ,0,0,0,0,0,0,4000000,0,4000000,PA,EST-5,99572,C,71,CTP,NWS Storm Survey,2.53,75,0,W,1,NNE,40.0501,-76.371,40.0808,-76.397,2013
606330,CASTRO (ZONE), ,31-Mar,2330,Blizzard, ,0,0,0,0,0,0,4000000,0,4000000,TX,CST-6,101343,Z,22,LUB,COOP Observer, , , , , , , , , , ,2013
619845,WASHTENAW (ZONE), ,1-Apr,1400,High Wind,52,0,0,0,0,0,0,4000000,0,4000000,MI,EST-5,103694,Z,75,DTX,Trained Spotter, , , , , , , , , , ,2013
621163,CALDWELL PAR.,HOLUM,2-Apr,2135,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,LA,CST-6,103186,C,21,SHV,Law Enforcement, , ,10,ESE,6,NNW,31.94,-91.9164,32.2687,-92.0036,2013
637631,ST. TAMMANY PAR.,FOLSOM,3-Apr,2300,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,LA,CST-6,106193,C,103,LIX,Emergency Manager, , ,5,NW,2,WNW,30.6864,-90.2493,30.4063,-90.2033,2013
633084,MURRAY CO.,JOY,4-Apr,1534,Tornado, ,0,0,0,0,0,0,4000000,0,4000000,OK,CST-6,104767,C,99,OUN,NWS Storm Survey,15.1,1500,2,S,3,NNW,34.565,-97.146,34.593,-96.884,2013
647748,ST. CHARLES CO.,ST CHARLES,5-Apr,1150,Hail,4,0,0,0,0,0,0,4000000,0,4000000,MO,CST-6,108034,C,183,LSX,NWS Employee, , ,0,S,2,SW,38.7761,-90.5009,38.7056,-90.7067,2013
644664,SAN DIEGO COUNTY VALLEYS (ZONE), ,6-Apr,1200,Wildfire, ,2,0,2,0,0,0,4000000,0,4000000,CA,PST-8,107567,Z,50,SGX,Fire Department/Rescue, , , , , , , , , , ,2013
638492,WEBSTER CO.,CLEVELAND,7-Apr,1200,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,WV,EST-5,105483,C,101,RLX,Department of Highways, , ,2,SE,1,NNW,38.693,-80.3506,38.7134,-80.4771,2013
638489,NICHOLAS CO.,ALLINGDALE,8-Apr,1730,Flood, ,0,0,0,0,0,0,4000000,0,4000000,WV,EST-5,105483,C,67,RLX,River/Stream Gage, , ,0,N,1,ESE,38.35,-80.62,38.2975,-80.5861,2013
656561,AVOYELLES PAR.,BORDELONVILLE,9-Apr,448,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,LA,CST-6,109693,C,9,LCH,Public, , ,14,NNE,93,SSE,31.2939,-91.8704,29.6501,-91.1014,2013
657047,COASTAL SARASOTA (ZONE), ,10-Apr,2000,Storm Surge/Tide, ,0,0,0,0,0,0,4000000,0,4000000,FL,EST-5,108576,Z,160,TBW,Emergency Manager, , , , , , , , , , ,2013
655955,PINELLAS (ZONE), ,11-Apr,2000,Storm Surge/Tide, ,0,0,0,0,0,0,4000000,0,4000000,FL,EST-5,108576,Z,50,TBW,Emergency Manager, , , , , , , , , , ,2013
661354,BERTIE CO.,DREW,12-Apr,2100,Flood, ,0,0,0,0,0,0,4000000,1000000,5000000,NC,EST-5,110775,C,15,AKQ,NWS Storm Survey, , ,2,E,4,WSW,36.0479,-76.9894,36.0547,-76.94,2013
661353,CARBON CO.,EAST CARBON CITY,13-Apr,500,Flash Flood, ,0,0,0,0,0,0,4000000,0,4000000,UT,MST-7,110619,C,7,SLC,County Official, , ,2,SSE,2,SE,39.5162,-110.3687,39.506,-110.9784,2013
676511,HUMBOLDT CO.,MIRANDA,14-Apr,1430,Heavy Rain, ,0,0,0,0,0,0,4000000,0,4000000,CA,PST-8,113112,C,23,EKA,Department of Highways, , ,1,WNW,1,WNW,40.2361,-123.8333,40.2361,-123.8333,2013
680334,CACHE CO.,AVON,15-Apr,0,Flood, ,0,0,0,0,0,0,4000000,0,4000000,UT,MST-7,113664,C,5,SLC,Other Federal Agency, , ,4,ENE,4,ENE,41.5508,-111.7529,41.9354,-111.72,2013
682311,TRINITY CO.,HYAMPOM,16-Apr,300,Heavy Rain, ,0,0,0,0,0,0,4000000,0,4000000,CA,PST-8,113908,C,105,EKA,Department of Highways, , ,12,SSW,12,SSW,40.4663,-123.5447,40.4663,-123.5447,2013
686664,VIRGINIA BEACH (C) CO.,WOODS CORNER,17-Apr,1720,Tornado, ,0,0,0,0,0,0,4000000,0,4000000,VA,EST-5,114455,C,810,AKQ,NWS Storm Survey,4.21,350,2,SE,1,SSW,36.7568,-76.1486,36.7913,-76.0858,2013
